,Title,Available Globally?,Release Date,Hours Viewed,Runtime,Views,english,searched,tconst,Simple_Title,net_year,titleType,primaryTitle,originalTitle,startYear,runtimeMinutes,genres
114,The Wild Robot,No,,"28,800,000",1:42,"16,900,000",The Wild Robot,The Wild Robot,tt29623480,The Wild Robot,1000.0,movie,The Wild Robot,The Wild Robot,2024,102,"Adventure,Animation,Family"
115,Home (2015),No,,"26,200,000",1:34,"16,700,000",Home (2015),Home,tt2224026,Home,2015.0,movie,Home,Home,2015,94,"Adventure,Animation,Comedy"
116,Trainwreck: The Astroworld Tragedy,Yes,2025-06-10,"22,500,000",1:21,"16,700,000",Trainwreck: The Astroworld Tragedy,Trainwreck: The Astroworld Tragedy,tt36856278,Trainwreck: The Astroworld Tragedy,2025.0,movie,Trainwreck: The Astroworld Tragedy,Trainwreck: The Astroworld Tragedy,2025,80,Documentary
117,Instant Family,No,,"33,000,000",1:59,"16,600,000",Instant Family,Instant Family,tt7401588,Instant Family,1000.0,movie,Instant Family,Instant Family,2018,118,"Comedy,Drama"
118,Lucy (2014),No,,"24,500,000",1:29,"16,500,000",Lucy (2014),Lucy,tt2872732,Lucy,2014.0,movie,Lucy,Lucy,2014,89,"Action,Sci-Fi,Thriller"
119,Smurfs: The Lost Village,No,,"24,600,000",1:30,"16,400,000",Smurfs: The Lost Village,Smurfs: The Lost Village,tt2398241,Smurfs: The Lost Village,1000.0,movie,Smurfs: The Lost Village,Smurfs: The Lost Village,2017,90,"Adventure,Animation,Comedy"
120,The Sentinel (2006),No,,"29,300,000",1:48,"16,300,000",The Sentinel (2006),The Sentinel,tt0443632,The Sentinel,2006.0,movie,The Sentinel,The Sentinel,2006,108,"Action,Crime,Thriller"
121,The Sea Beast,Yes,2022-07-08,"32,200,000",1:59,"16,200,000",The Sea Beast,The Sea Beast,tt9288046,The Sea Beast,2022.0,movie,The Sea Beast,The Sea Beast,2022,115,"Action,Adventure,Animation"
122,Don't Move,No,2024-10-25,"24,800,000",1:32,"16,200,000",Don't Move,Don't Move,tt24807110,Don't Move,2024.0,movie,Don't Move,Don't Move,2024,92,"Horror,Thriller"
123,Jumanji: The Next Level,No,,"33,100,000",2:03,"16,100,000",Jumanji: The Next Level,Jumanji: The Next Level,tt7975244,Jumanji: The Next Level,1000.0,movie,Jumanji: The Next Level,Jumanji: The Next Level,2019,123,"Action,Adventure,Comedy"
124,To Catch a Killer (2023),No,,"31,900,000",1:59,"16,100,000",To Catch a Killer (2023),To Catch a Killer,tt10275534,To Catch a Killer,2023.0,movie,To Catch a Killer,To Catch a Killer,2023,119,"Action,Crime,Drama"
125,One of Them Days,No,,"26,100,000",1:37,"16,100,000",One of Them Days,One of Them Days,tt32221196,One of Them Days,1000.0,movie,One of Them Days,One of Them Days,2025,97,Comedy
126,The Gray Man,Yes,2022-07-22,"34,400,000",2:09,"16,000,000",The Gray Man,The Gray Man,tt1649418,The Gray Man,2022.0,movie,The Gray Man,The Gray Man,2022,122,"Action,Mystery,Thriller"
127,Land of Bad,No,,"30,300,000",1:54,"15,900,000",Land of Bad,Land of Bad,tt19864802,Land of Bad,1000.0,movie,Land of Bad,Land of Bad,2024,113,"Action,Thriller"
128,Woody Woodpecker (2017),No,,"24,000,000",1:31,"15,800,000",Woody Woodpecker (2017),Woody Woodpecker,tt2114504,Woody Woodpecker,2017.0,movie,Woody Woodpecker,Woody Woodpecker,2017,91,"Adventure,Animation,Comedy"
129,Meet the Khumalos,Yes,2025-04-11,"24,400,000",1:33,"15,700,000",Meet the Khumalos,Meet the Khumalos,tt36242582,Meet the Khumalos,2025.0,movie,Meet the Khumalos,Meet the Khumalos,2025,92,"Comedy,Drama"
130,Minions & More Volume 1,Yes,,"12,800,000",0:49,"15,700,000",Minions & More Volume 1,Minions & More Volume 1,tt22184976,Minions & More Volume 1,1000.0,movie,Minions & More 1,Minions & More 1,2022,48,"Adventure,Animation,Comedy"
131,Love Forever // Kärlek fårever,Yes,2025-02-14,"24,900,000",1:36,"15,600,000",Love Forever ,Love Forever,tt30308957,Love Forever,2025.0,movie,Love Forever,Kärlek fårever,2025,96,"Comedy,Romance"
132,The Equalizer (2014),No,,"34,000,000",2:12,"15,500,000",The Equalizer (2014),The Equalizer,tt0455944,The Equalizer,2014.0,movie,The Equalizer,The Equalizer,2014,132,"Action,Crime,Thriller"
133,Knight and Day,No,,"28,100,000",1:49,"15,500,000",Knight and Day,Knight and Day,tt1013743,Knight and Day,1000.0,movie,Knight and Day,Knight and Day,2010,109,"Action,Adventure,Comedy"
134,A Copenhagen Love Story // Sult,Yes,2025-02-26,"27,200,000",1:45,"15,500,000",A Copenhagen Love Story ,A Copenhagen Love Story,tt33501878,A Copenhagen Love Story,2025.0,movie,A Copenhagen Love Story,Sult,2025,105,"Drama,Romance"
135,Wish Dragon,Yes,2021-06-11,"26,500,000",1:43,"15,400,000",Wish Dragon,Wish Dragon,tt5562070,Wish Dragon,2021.0,movie,Wish Dragon,Wish Dragon,2021,98,"Adventure,Animation,Comedy"
136,Minions & More Volume 2,Yes,,"13,600,000",0:53,"15,400,000",Minions & More Volume 2,Minions & More Volume 2,tt23382644,Minions & More Volume 2,1000.0,movie,Minions & More 2,Minions & More 2,2022,50,"Adventure,Animation,Comedy"
137,The Mitchells vs. The Machines,Yes,2021-04-30,"28,700,000",1:54,"15,100,000",The Mitchells vs. The Machines,The Mitchells vs. The Machines,tt7979580,The Mitchells vs. The Machines,2021.0,movie,The Mitchells vs. the Machines,The Mitchells vs the Machines,2021,114,"Adventure,Animation,Comedy"
138,Eye for an Eye (1996),No,,"25,700,000",1:42,"15,100,000",Eye for an Eye (1996),Eye for an Eye,tt0116260,Eye for an Eye,1996.0,movie,Eye for an Eye,Eye for an Eye,1996,101,"Crime,Drama,Thriller"
139,The Garfield Movie,No,,"25,500,000",1:41,"15,100,000",The Garfield Movie,The Garfield Movie,tt5779228,The Garfield Movie,1000.0,movie,The Garfield Movie,The Garfield Movie,2024,101,"Adventure,Animation,Comedy"
140,Con Mum,Yes,2025-03-25,"22,400,000",1:29,"15,100,000",Con Mum,Con Mum,tt35955855,Con Mum,2025.0,movie,Con Mum,Con Mum,2025,88,"Crime,Documentary"
141,Spider-Man: No Way Home,No,,"36,900,000",2:28,"15,000,000",Spider-Man: No Way Home,Spider-Man: No Way Home,tt10872600,Spider-Man: No Way Home,1000.0,movie,Spider-Man: No Way Home,Spider-Man: No Way Home,2021,148,"Action,Adventure,Fantasy"
142,Matilda (1996),No,,"24,300,000",1:38,"14,900,000",Matilda (1996),Matilda,tt0117008,Matilda,1996.0,movie,Matilda,Matilda,1996,98,"Comedy,Family,Fantasy"
143,Ted 2,No,,"28,600,000",1:56,"14,800,000",Ted 2,Ted 2,tt2637276,Ted 2,1000.0,movie,Ted 2,Ted 2,2015,115,Comedy
144,Leave the World Behind,Yes,2023-12-08,"34,600,000",2:22,"14,600,000",Leave the World Behind,Leave the World Behind,tt12747748,Leave the World Behind,2023.0,movie,Leave the World Behind,Leave the World Behind,2023,138,"Drama,Mystery,Thriller"
145,The Old Guard,Yes,2020-07-10,"30,700,000",2:06,"14,600,000",The Old Guard,The Old Guard,tt7556122,The Old Guard,2020.0,movie,The Old Guard,The Old Guard,2020,125,"Action,Thriller"
146,The Children's Train // Il treno dei bambini,Yes,2024-12-04,"25,700,000",1:46,"14,500,000",The Children's Train ,The Children's Train,tt29242846,The Children's Train,2024.0,movie,The Children's Train,Il treno dei bambini,2024,106,"Drama,History"
147,No Hard Feelings (2023),No,,"25,200,000",1:44,"14,500,000",No Hard Feelings (2023),No Hard Feelings,tt15671028,No Hard Feelings,2023.0,movie,No Hard Feelings,No Hard Feelings,2023,103,"Comedy,Romance"
148,Spenser Confidential,Yes,2020-03-06,"26,400,000",1:51,"14,300,000",Spenser Confidential,Spenser Confidential,tt8629748,Spenser Confidential,2020.0,movie,Spenser Confidential,Spenser Confidential,2020,111,"Action,Comedy,Crime"
149,Geostorm,No,,"26,000,000",1:49,"14,300,000",Geostorm,Geostorm,tt1981128,Geostorm,1000.0,movie,Geostorm,Geostorm,2017,111,"Action,Sci-Fi,Thriller"
150,Morbius,No,,"24,700,000",1:44,"14,300,000",Morbius,Morbius,tt5108870,Morbius,1000.0,movie,Morbius,Morbius,2022,104,"Action,Adventure,Horror"
151,Beverly Hills Cop: Axel F,Yes,2024-07-03,"28,000,000",1:58,"14,200,000",Beverly Hills Cop: Axel F,Beverly Hills Cop: Axel F,tt3083016,Beverly Hills Cop: Axel F,2024.0,movie,Beverly Hills Cop: Axel F,Beverly Hills Cop: Axel F,2024,118,"Action,Comedy,Crime"
152,A Quiet Place: Day One,No,,"23,700,000",1:40,"14,200,000",A Quiet Place: Day One,A Quiet Place: Day One,tt13433802,A Quiet Place: Day One,1000.0,movie,A Quiet Place: Day One,A Quiet Place: Day One,2024,99,"Drama,Horror,Sci-Fi"
153,Extraction 2,Yes,2023-06-16,"29,200,000",2:04,"14,100,000",Extraction 2,Extraction 2,tt12263384,Extraction 2,2023.0,movie,Extraction II,Extraction 2,2023,122,"Action,Crime,Thriller"
154,Just Go With It,No,,"27,400,000",1:57,"14,100,000",Just Go With It,Just Go With It,tt1564367,Just Go With It,1000.0,movie,Just Go with It,Just Go with It,2011,117,"Comedy,Romance"
155,Peter Rabbit (2018),No,,"22,400,000",1:35,"14,100,000",Peter Rabbit (2018),Peter Rabbit,tt5117670,Peter Rabbit,2018.0,movie,Peter Rabbit,Peter Rabbit,2018,95,"Adventure,Animation,Comedy"
156,Sicario (2015),No,,"28,200,000",2:01,"14,000,000",Sicario (2015),Sicario,tt3397884,Sicario,2015.0,movie,Sicario,Sicario,2015,121,"Action,Crime,Drama"
157,Purple Hearts,Yes,2022-07-29,"29,000,000",2:05,"13,900,000",Purple Hearts,Purple Hearts,tt4614584,Purple Hearts,2022.0,movie,Purple Hearts,Purple Hearts,2022,122,"Drama,Music,Romance"
158,Fifty Shades of Grey,No,,"28,300,000",2:05,"13,600,000",Fifty Shades of Grey,Fifty Shades of Grey,tt2322441,Fifty Shades of Grey,1000.0,movie,Fifty Shades of Grey,Fifty Shades of Grey,2015,125,"Drama,Romance,Thriller"
159,Aquaman and the Lost Kingdom,No,,"28,100,000",2:04,"13,600,000",Aquaman and the Lost Kingdom,Aquaman and the Lost Kingdom,tt9663764,Aquaman and the Lost Kingdom,1000.0,movie,Aquaman and the Lost Kingdom,Aquaman and the Lost Kingdom,2023,124,"Action,Adventure,Fantasy"
160,Godzilla x Kong: The New Empire,No,,"26,000,000",1:55,"13,600,000",Godzilla x Kong: The New Empire,Godzilla x Kong: The New Empire,tt14539740,Godzilla x Kong: The New Empire,1000.0,movie,Godzilla x Kong: The New Empire,Godzilla x Kong: The New Empire,2024,115,"Action,Adventure,Fantasy"
161,Nadaaniyan // नादानियां,Yes,2025-03-07,"26,900,000",2:00,"13,500,000",Nadaaniyan ,Nadaaniyan,tt30422937,Nadaaniyan,2025.0,movie,Nadaaniyan,Naadaniyaan,2025,119,"Drama,Romance"
162,A Family Affair,Yes,2024-06-28,"25,600,000",1:54,"13,500,000",A Family Affair,A Family Affair,tt21051906,A Family Affair,2024.0,movie,A Family Affair,A Family Affair,2024,111,"Comedy,Drama,Romance"
163,Runaway Jury,No,,"28,300,000",2:08,"13,300,000",Runaway Jury,Runaway Jury,tt0313542,Runaway Jury,1000.0,movie,Runaway Jury,Runaway Jury,2003,127,"Crime,Drama,Thriller"
164,Ticket to Paradise (2022),No,,"23,100,000",1:44,"13,300,000",Ticket to Paradise (2022),Ticket to Paradise,tt14109724,Ticket to Paradise,2022.0,movie,Ticket to Paradise,Ticket to Paradise,2022,104,"Comedy,Drama,Romance"
165,Rush Hour (1998),No,,"21,700,000",1:38,"13,300,000",Rush Hour (1998),Rush Hour,tt0120812,Rush Hour,1998.0,movie,Rush Hour,Rush Hour,1998,98,"Action,Comedy,Crime"
166,Mother of the Bride,Yes,2024-05-09,"20,000,000",1:30,"13,300,000",Mother of the Bride,Mother of the Bride,tt26926267,Mother of the Bride,2024.0,movie,Mother of the Bride,Mother of the Bride,2024,88,"Comedy,Drama,Romance"
167,The Most Beautiful Girl in the World,Yes,2025-02-14,"27,000,000",2:03,"13,200,000",The Most Beautiful Girl in the World,The Most Beautiful Girl in the World,tt34749630,The Most Beautiful Girl in the World,2025.0,movie,The Most Beautiful Girl in the World,The Most Beautiful Girl in the World,2025,122,"Comedy,Romance"
168,Karol G: Tomorrow was Beautiful // Karol G: Mañana fue muy bonito,Yes,2025-05-08,"23,600,000",1:49,"13,000,000",Karol G: Tomorrow was Beautiful ,Karol G: Tomorrow was Beautiful,tt33034822,Karol G: Tomorrow was Beautiful,2025.0,movie,Karol G: Tomorrow was Beautiful,Karol G: Mañana Fue Muy Bonito,2024,\N,Music
169,Ted (2012),No,,"23,000,000",1:46,"13,000,000",Ted (2012),Ted,tt1637725,Ted,2012.0,movie,Ted,Ted,2012,106,Comedy
170,Spy Kids: Armageddon,Yes,2023-09-22,"21,200,000",1:38,"13,000,000",Spy Kids: Armageddon,Spy Kids: Armageddon,tt13978520,Spy Kids: Armageddon,2023.0,movie,Spy Kids: Armageddon,Spy Kids: Armageddon,2023,97,"Action,Comedy,Family"
171,The Angry Birds Movie 2,No,,"21,000,000",1:37,"13,000,000",The Angry Birds Movie 2,The Angry Birds Movie 2,tt6095472,The Angry Birds Movie 2,1000.0,movie,The Angry Birds Movie 2,The Angry Birds Movie 2,2019,97,"Action,Adventure,Animation"
172,Spider-Man: Into the Spider-Verse,No,,"25,000,000",1:57,"12,800,000",Spider-Man: Into the Spider-Verse,Spider-Man: Into the Spider-Verse,tt4633694,Spider-Man: Into the Spider-Verse,1000.0,movie,Spider-Man: Into the Spider-Verse,Spider-Man: Into the Spider-Verse,2018,117,"Action,Adventure,Animation"
173,Deva // कोई शक,No,,"32,700,000",2:35,"12,700,000",Deva ,Deva,tt27852049,Deva,1000.0,movie,Deva,Deva,2025,156,"Action,Crime,Drama"
174,365 Days (2020),Yes,,"24,400,000",1:55,"12,700,000",365 Days (2020),365 Days,tt10886166,365 Days,2020.0,movie,365 Days,365 dni,2020,114,"Drama,Romance"
175,Trial by Fire (2018),No,,"26,700,000",2:07,"12,600,000",Trial by Fire (2018),Trial by Fire,tt3263946,Trial by Fire,2018.0,movie,Trial by Fire,Trial by Fire,2018,127,"Biography,Drama"
176,The Twilight Saga: Breaking Dawn: Part 2,No,,"24,200,000",1:55,"12,600,000",The Twilight Saga: Breaking Dawn: Part 2,The Twilight Saga: Breaking Dawn: Part 2,tt1673434,The Twilight Saga: Breaking Dawn: Part 2,1000.0,movie,The Twilight Saga: Breaking Dawn - Part 2,The Twilight Saga: Breaking Dawn - Part 2,2012,115,"Adventure,Drama,Fantasy"
177,Oklahoma City Bombing: American Terror,Yes,2025-04-18,"17,800,000",1:25,"12,600,000",Oklahoma City Bombing: American Terror,Oklahoma City Bombing: American Terror,tt36351149,Oklahoma City Bombing: American Terror,2025.0,movie,Oklahoma City Bombing: American Terror,Oklahoma City Bombing: American Terror,2025,82,"Crime,Documentary"
178,Interstellar,No,,"34,900,000",2:49,"12,400,000",Interstellar,Interstellar,tt0816692,Interstellar,1000.0,movie,Interstellar,Interstellar,2014,169,"Adventure,Drama,Sci-Fi"
179,The Twilight Saga: New Moon,No,,"26,900,000",2:11,"12,300,000",The Twilight Saga: New Moon,The Twilight Saga: New Moon,tt1259571,The Twilight Saga: New Moon,1000.0,movie,The Twilight Saga: New Moon,The Twilight Saga: New Moon,2009,130,"Adventure,Drama,Fantasy"
180,Sniper: Assassin's End,No,,"19,500,000",1:35,"12,300,000",Sniper: Assassin's End,Sniper: Assassin's End,tt12305696,Sniper: Assassin's End,1000.0,video,Sniper: Assassin's End,Sniper: Assassin's End,2020,95,"Action,Thriller"
181,The Mother,Yes,2023-05-12,"23,700,000",1:57,"12,200,000",The Mother,The Mother,tt6968614,The Mother,2023.0,movie,The Mother,The Mother,2023,115,"Action,Thriller"
182,Now You See Me,No,,"23,300,000",1:55,"12,200,000",Now You See Me,Now You See Me,tt1670345,Now You See Me,1000.0,movie,Now You See Me,Now You See Me,2013,115,"Crime,Mystery,Thriller"
183,Mowgli: Legend of the Jungle,No,2018-12-07,"21,400,000",1:45,"12,200,000",Mowgli: Legend of the Jungle,Mowgli: Legend of the Jungle,tt2388771,Mowgli: Legend of the Jungle,2018.0,movie,Mowgli: Legend of the Jungle,Mowgli,2018,104,"Adventure,Drama,Fantasy"
184,Our Little Secret,Yes,2024-11-27,"20,500,000",1:41,"12,200,000",Our Little Secret,Our Little Secret,tt31022050,Our Little Secret,2024.0,movie,Our Little Secret,Our Little Secret,2024,101,"Comedy,Romance"
185,IF (2024),No,,"21,000,000",1:44,"12,100,000",IF (2024),IF,tt11152168,IF,2024.0,movie,IF,If,2024,104,"Animation,Comedy,Drama"
186,The Diplomat // डिप्लोमैट,No,,"26,700,000",2:13,"12,000,000",The Diplomat ,The Diplomat,tt26229612,The Diplomat,1000.0,movie,The Diplomat,The Diplomat,2025,130,"Drama,Thriller"
187,The Intern (2015),No,,"24,500,000",2:02,"12,000,000",The Intern (2015),The Intern,tt2361509,The Intern,2015.0,movie,The Intern,The Intern,2015,121,"Comedy,Drama"
188,Kung Fu Panda,No,,"18,800,000",1:34,"12,000,000",Kung Fu Panda,Kung Fu Panda,tt0441773,Kung Fu Panda,1000.0,movie,Kung Fu Panda,Kung Fu Panda,2008,92,"Action,Adventure,Animation"
189,Dr. Seuss' The Lorax,No,,"17,200,000",1:26,"12,000,000",Dr. Seuss' The Lorax,Dr. Seuss' The Lorax,tt1482459,Dr. Seuss' The Lorax,1000.0,movie,The Lorax,The Lorax,2012.0,86.0,"Adventure,Animation,Comedy"
190,Furiosa: A Mad Max Saga,No,,"29,400,000",2:28,"11,900,000",Furiosa: A Mad Max Saga,Furiosa: A Mad Max Saga,tt12037194,Furiosa: A Mad Max Saga,1000.0,movie,Furiosa: A Mad Max Saga,Furiosa: A Mad Max Saga,2024,148,"Action,Adventure,Sci-Fi"
191,Penguins of Madagascar: The Movie,No,,"18,200,000",1:32,"11,900,000",Penguins of Madagascar: The Movie,Penguins of Madagascar: The Movie,tt1911658,Penguins of Madagascar: The Movie,1000.0,movie,Penguins of Madagascar,Penguins of Madagascar,2014.0,92.0,"Action,Adventure,Animation"
192,Our Times // Nuestros tiempos,Yes,2025-06-11,"18,000,000",1:31,"11,900,000",Our Times ,Our Times,tt35630700,Our Times,2025.0,movie,Our Times,Nuestros Tiempos,2025,90,"Drama,Sci-Fi"
193,Under the Boardwalk (2022),No,,"17,200,000",1:27,"11,900,000",Under the Boardwalk (2022),Under the Boardwalk,tt10551654,Under the Boardwalk,2022.0,movie,Under the Boardwalk,Under the Boardwalk,2023,83,"Adventure,Animation,Comedy"
194,Madagascar (2005),No,,"17,100,000",1:26,"11,900,000",Madagascar (2005),Madagascar,tt0351283,Madagascar,2005.0,movie,Madagascar,Madagascar,2005,86,"Adventure,Animation,Comedy"
195,The Passion of the Christ,No,,"23,500,000",2:01,"11,700,000",The Passion of the Christ,The Passion of the Christ,tt0335345,The Passion of the Christ,1000.0,movie,The Passion of the Christ,The Passion of the Christ,2004,127,Drama
196,Promised Hearts // Setetes Embun Cinta Niyala,Yes,2025-03-31,"22,300,000",1:54,"11,700,000",Promised Hearts ,Promised Hearts,tt31107212,Promised Hearts,2025.0,movie,Promised Hearts,Setetes Embun Cinta Niyala,2025,109,"Drama,Romance"
197,Incoming,Yes,2024-08-23,"17,800,000",1:31,"11,700,000",Incoming,Incoming,tt21284218,Incoming,2024.0,movie,Incoming,Incoming,2024,91,Comedy
198,The Menu (2022),No,,"20,600,000",1:47,"11,600,000",The Menu (2022),The Menu,tt9764362,The Menu,2022.0,movie,The Menu,The Menu,2022,107,"Comedy,Horror,Thriller"
200,Family Pack // Loups-Garous,Yes,2024-10-23,"18,400,000",1:35,"11,600,000",Family Pack ,Family Pack,tt29195603,Family Pack,2024.0,movie,Family Pack,Loups-Garous,2024,94,"Adventure,Comedy,Fantasy"
201,Disaster Holiday,Yes,2024-12-13,"18,000,000",1:33,"11,600,000",Disaster Holiday,Disaster Holiday,tt34608980,Disaster Holiday,2024.0,movie,Disaster Holiday,Disaster Holiday,2024,93,"Comedy,Family"
202,Atlas,Yes,2024-05-24,"22,900,000",2:00,"11,500,000",Atlas,Atlas,tt14856980,Atlas,2024.0,movie,Atlas,Atlas,2024,118,"Action,Adventure,Drama"
203,Pixels (2015),No,,"20,300,000",1:46,"11,500,000",Pixels (2015),Pixels,tt2120120,Pixels,2015.0,movie,Pixels,Pixels,2015,105,"Action,Adventure,Comedy"
204,Barbie (2023),No,,"21,600,000",1:54,"11,400,000",Barbie (2023),Barbie,tt1517268,Barbie,2023.0,movie,Barbie,Barbie,2023,114,"Adventure,Comedy,Fantasy"
205,Fifty Shades Freed,No,,"20,000,000",1:45,"11,400,000",Fifty Shades Freed,Fifty Shades Freed,tt4477536,Fifty Shades Freed,1000.0,movie,Fifty Shades Freed,Fifty Shades Freed,2018,105,"Drama,Mystery,Romance"
206,That Christmas,Yes,2024-12-04,"18,200,000",1:36,"11,400,000",That Christmas,That Christmas,tt14855468,That Christmas,2024.0,movie,That Christmas,That Christmas,2024,91,"Adventure,Animation,Comedy"
207,Liar Liar (1997),No,,"16,600,000",1:27,"11,400,000",Liar Liar (1997),Liar Liar,tt0119528,Liar Liar,1997.0,movie,Liar Liar,Liar Liar,1997,86,"Comedy,Fantasy"
208,Pride & Prejudice,No,,"24,000,000",2:07,"11,300,000",Pride & Prejudice,Pride & Prejudice,tt0414387,Pride & Prejudice,1000.0,movie,Pride & Prejudice,Pride & Prejudice,2005,129,"Drama,Romance"
209,It Takes Two (1995),No,,"18,800,000",1:41,"11,200,000",It Takes Two (1995),It Takes Two,tt0113442,It Takes Two,1995.0,movie,It Takes Two,It Takes Two,1995,101,"Comedy,Family,Romance"
210,Masha and the Bear: The Legend of the 12 Months,No,,"4,300,000",0:23,"11,200,000",Masha and the Bear: The Legend of the 12 Months,Masha and the Bear: The Legend of the 12 Months,tt23838860,Masha and the Bear: The Legend of the 12 Months,1000.0,short,Masha and the Bear: The Legend of the 12 Months,Masha i Medved v kino: 12 mesyatsev,2022,22,"Animation,Short"
211,Anyone But You,No,,"19,200,000",1:44,"11,100,000",Anyone But You,Anyone But You,tt26047818,Anyone But You,1000.0,movie,Anyone But You,Anyone But You,2023,103,"Comedy,Romance"
212,Murder Mystery,Yes,2019-06-14,"18,200,000",1:38,"11,100,000",Murder Mystery,Murder Mystery,tt1618434,Murder Mystery,2019.0,movie,Murder Mystery,Murder Mystery,2019,97,"Crime,Mystery,Romance"
213,Trouble // Strul,Yes,2024-10-03,"18,100,000",1:38,"11,100,000",Trouble ,Trouble,tt30217143,Trouble,2024.0,movie,Trouble,Strul,2024,98,"Action,Comedy,Crime"
214,YES DAY,Yes,2021-03-12,"16,600,000",1:30,"11,100,000",YES DAY,YES DAY,tt8521876,YES DAY,2021.0,movie,Yes Day,Yes Day,2021,86,"Comedy,Family"
215,Horizon: An American Saga: Chapter 1,No,,"33,200,000",3:01,"11,000,000",Horizon: An American Saga: Chapter 1,Horizon: An American Saga: Chapter 1,tt17505010,Horizon: An American Saga: Chapter 1,1000.0,movie,Horizon: An American Saga - Chapter 1,Horizon: An American Saga - Chapter 1,2024,181,"Drama,Western"
216,Blacklight (2022),No,,"19,200,000",1:45,"11,000,000",Blacklight (2022),Blacklight,tt14060094,Blacklight,2022.0,movie,Blacklight,Blacklight,2022,104,"Action,Drama,Thriller"
217,To All the Boys: P.S. I Still Love You,Yes,2020-02-12,"18,500,000",1:42,"10,900,000",To All the Boys: P.S. I Still Love You,To All the Boys: P.S. I Still Love You,tt9354842,To All the Boys: P.S. I Still Love You,2020.0,movie,To All the Boys: P.S. I Still Love You,To All the Boys: P.S. I Still Love You,2020,101,"Comedy,Drama,Romance"
